model_filename,performance_metric,metric_value,dataset,source
BidirGRU_BS=1024_MITBIH_biGRU,balanced_accuracy_score,0.9038502447454684,mitbih,initial-training
BILSTM187_mitbih_MITBIH,balanced_accuracy_score,0.8975729497533749,mitbih,initial-training
BILSTM187_mitbih_MITBIH_biGRU,balanced_accuracy_score,0.8856538925486467,mitbih,initial-training
GRU_mitbih_MITBIH,balanced_accuracy_score,0.8563174189814159,mitbih,initial-training
CNN_mitbih_MITBIH_biGRU,balanced_accuracy_score,0.8478730878183471,mitbih,initial-training
CNN_mitbih_MITBIH,balanced_accuracy_score,0.8329139160857055,mitbih,initial-training
LTSM_mitbih_MITBIH,balanced_accuracy_score,0.8261099009899127,mitbih,initial-training
SIMPLE_RNN_mitbih_MITBIH,balanced_accuracy_score,0.7536954187875319,mitbih,initial-training
BILSTM_mitbih_MITBIH,balanced_accuracy_score,0.6573433022506142,mitbih,initial-training
BIRNN187_mitbih_MITBIH,balanced_accuracy_score,0.5779338075685911,mitbih,initial-training
RNN_mitbih_MITBIH_biGRU,balanced_accuracy_score,0.5561785175832606,mitbih,initial-training
BidirGRU_MITBIH,balanced_accuracy_score,0.5362450657966464,mitbih,initial-training
BidirGRU_MITBIH_biGRU,balanced_accuracy_score,0.5307456485194285,mitbih,initial-training
BIRNN10_mitbih_MITBIH,balanced_accuracy_score,0.5143747810448643,mitbih,initial-training
RNN_mitbih_MITBIH,balanced_accuracy_score,0.4993741968691587,mitbih,initial-training
BIRNN187_mitbih_MITBIH_biGRU,balanced_accuracy_score,0.4850607933122354,mitbih,initial-training
BILSTM10_mitbih_MITBIH_biGRU,balanced_accuracy_score,0.2,mitbih,initial-training
BILSTM187_ptb_MITBIH,balanced_accuracy_score,0.2,mitbih,initial-training
BidirGRU_BS=1024_MITBIH_biGRU,accuracy,0.9871185821304588,mitbih,initial-training
BILSTM187_mitbih_MITBIH,accuracy,0.9859309336744017,mitbih,initial-training
BILSTM187_mitbih_MITBIH_biGRU,accuracy,0.9845605700712587,mitbih,initial-training
GRU_mitbih_MITBIH,accuracy,0.9789877580851452,mitbih,initial-training
CNN_mitbih_MITBIH_biGRU,accuracy,0.9757445642243742,mitbih,initial-training
CNN_mitbih_MITBIH,accuracy,0.9744198794080028,mitbih,initial-training
LTSM_mitbih_MITBIH,accuracy,0.970856934039832,mitbih,initial-training
SIMPLE_RNN_mitbih_MITBIH,accuracy,0.9549607162433764,mitbih,initial-training
BILSTM_mitbih_MITBIH,accuracy,0.9524483829709482,mitbih,initial-training
BIRNN187_mitbih_MITBIH,accuracy,0.9300200986661794,mitbih,initial-training
RNN_mitbih_MITBIH_biGRU,accuracy,0.929654668372008,mitbih,initial-training
BidirGRU_MITBIH,accuracy,0.9359583409464644,mitbih,initial-training
