,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Balanced Accuracy,TT (Sec)
lr,Logistic Regression,0.9888,0.9897,0.8994,0.9887,0.9885,0.9624,0.9627,0.8994,1.604
ridge,Ridge Classifier,0.9888,0.0,0.9018,0.9886,0.9884,0.9623,0.9625,0.9018,0.055
svm,SVM - Linear Kernel,0.9887,0.0,0.9021,0.9885,0.9884,0.9621,0.9623,0.9021,0.227
lda,Linear Discriminant Analysis,0.9884,0.9828,0.9079,0.9883,0.9882,0.9611,0.9613,0.9079,0.245
knn,K Neighbors Classifier,0.988,0.9843,0.8911,0.9878,0.9876,0.9596,0.9598,0.8911,1.468
catboost,CatBoost Classifier,0.9875,0.9893,0.9007,0.9874,0.9872,0.958,0.9582,0.9007,3.423
rf,Random Forest Classifier,0.9873,0.9858,0.8937,0.9871,0.987,0.9575,0.9577,0.8937,1.177
gbc,Gradient Boosting Classifier,0.9873,0.9885,0.8971,0.9871,0.9871,0.9576,0.9578,0.8971,8.242
lightgbm,Light Gradient Boosting Machine,0.9872,0.9836,0.8958,0.987,0.9869,0.9571,0.9573,0.8958,0.604
et,Extra Trees Classifier,0.9871,0.9815,0.8914,0.9869,0.9868,0.9569,0.957,0.8914,1.22
xgboost,Extreme Gradient Boosting,0.9869,0.9888,0.8976,0.9867,0.9866,0.9561,0.9562,0.8976,0.803
dt,Decision Tree Classifier,0.9855,0.9699,0.8831,0.9852,0.9851,0.9514,0.9516,0.8831,0.08
qda,Quadratic Discriminant Analysis,0.9767,0.9407,0.7788,0.9764,0.9738,0.9188,0.9209,0.7788,0.121
ada,Ada Boost Classifier,0.8748,0.204,0.44,0.8732,0.8339,0.3979,0.4772,0.44,0.662
dummy,Dummy Classifier,0.8292,0.5,0.2,0.6876,0.7518,0.0,0.0,0.2,0.018
nb,Naive Bayes,0.1119,0.9794,0.6004,0.1649,0.1054,0.0997,0.3674,0.6004,0.04
