Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Balanced Accuracy
0,0.9909,0.9918,0.9356,0.9907,0.9907,0.9694,0.9695,0.9356
1,0.9856,0.9824,0.8904,0.9853,0.9854,0.9519,0.952,0.8904
2,0.9876,0.9954,0.8998,0.9875,0.9875,0.9586,0.9587,0.8998
3,0.9922,0.9925,0.9555,0.9925,0.992,0.9739,0.974,0.9555
4,0.9883,0.9913,0.8669,0.9881,0.9875,0.96,0.9606,0.8669
5,0.9896,0.9847,0.9062,0.9895,0.9893,0.9647,0.965,0.9062
6,0.9843,0.9786,0.8411,0.9839,0.9834,0.947,0.9473,0.8411
7,0.9876,0.9941,0.8776,0.9873,0.9871,0.9585,0.9587,0.8776
8,0.9863,0.9841,0.8805,0.986,0.9859,0.9536,0.9541,0.8805
9,0.9915,0.9937,0.9338,0.9914,0.9914,0.9716,0.9717,0.9338
Mean,0.9884,0.9889,0.8987,0.9882,0.988,0.9609,0.9612,0.8987
Std,0.0025,0.0056,0.0332,0.0026,0.0027,0.0084,0.0083,0.0332
