Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Balanced Accuracy
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9951,0.9998,0.9932,1.0,0.9966,0.9879,0.988,0.9966
2,0.9951,1.0,0.9932,1.0,0.9966,0.9879,0.988,0.9966
3,0.9951,0.9998,1.0,0.9932,0.9966,0.9878,0.9878,0.9912
4,0.9951,0.9909,1.0,0.9932,0.9966,0.9878,0.9878,0.9912
5,0.9804,0.9906,0.9864,0.9864,0.9864,0.9513,0.9513,0.9757
6,0.9804,0.9983,0.9932,0.9799,0.9865,0.9508,0.9511,0.9703
7,0.9901,0.9995,0.9932,0.9932,0.9932,0.9756,0.9756,0.9878
8,0.9901,0.9996,0.9932,0.9932,0.9932,0.9756,0.9756,0.9878
9,0.9754,0.9895,0.9932,0.9733,0.9832,0.9373,0.938,0.9609
Mean,0.9897,0.9968,0.9945,0.9912,0.9929,0.9742,0.9743,0.9858
Std,0.0078,0.0043,0.0041,0.0085,0.0053,0.0196,0.0195,0.0121
